symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17,Report_Type,Symbol,id,officer_name,officer_position,position_short_name,officer_own_percent,quantity,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,share_holder,share_own_percent,date,description,link,name,sub_organ_code,ownership_percent,organ_name,type
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93252518,,,,,4170360.0,,,,,,,Phạm Minh Tiến,0.0217,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93243137,,,,,1534413.0,,,,,,,Ngô Thị Vân Hạnh,0.008,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93245094,,,,,247920.0,,,,,,,Nguyễn Hữu Thanh,0.0079,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93241343,,,,,1233846.0,,,,,,,Lê Văn Lãnh,0.0064,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93261125,,,,,79802.0,,,,,,,Võ Thái Phong,0.0027,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93249589,,,,,75251.0,,,,,,,Nguyễn Thị Trúc Mai,0.0026,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93244675,,,,,456122.0,,,,,,,Nguyễn Hoàng Linh,0.002378,,,,,,,,
,,,2025-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93230437,,,,,223470.0,,,,,,,Công đoàn Công ty Cổ phần Tập đoàn Yeah1,0.0012,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93245987,,,,,26087.0,,,,,,,Nguyễn Ngọc Hưng,0.0009,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93252491,,,,,67158.0,,,,,,,Phạm Minh Hồng,0.00049,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93258684,,,,,57130.0,,,,,,,Trần Thị Mỹ Duyên,0.0003,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93251594,,,,,10111.0,,,,,,,Nguyễn Vũ Nghị,0.0003,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93252437,,,,,53216.0,,,,,,,Phạm Lê Anh Thư,0.00028,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93233937,,,,,42168.0,,,,,,,Đặng Phương Dung,0.0002,,,,,,,,
,,,2025-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93248139,,,,,35470.0,,,,,,,Nguyễn Thị Khánh Trang,0.000185,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93261794,,,,,35360.0,,,,,,,Vương Hồ Trí Dũng,0.000184,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93250976,,,,,21080.0,,,,,,,Nguyễn Văn Nam,0.00011,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93241708,,,,,1410.0,,,,,,,Loh Yean Wei Jason,4.6e-05,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YEG,93243421,,,,,7.0,,,,,,,Nguyễn Anh Vũ,2.4e-07,,,,,,,,
